geneset_name	geneset_genes	geneset_size
GO_MULTICELLULAR_ORGANISM_AGING	ATM,BBC3,CISD2,CTSL2,CTSV,DDC,EDN1,ERCC1,GHRHR,HELT,HYAL2,IDE,INPP5D,LRRK2,MSH2,MSH6,NDUFS6,NR5A1,POU1F1,PRDM2,RAD54B,RAD54L,RNF165,SEC63,SERP1,SLC1A2,SPEF2,TFCP2L1,TH,TP53,TP63,WRN	32
GO_MULTICELLULAR_ORGANISM_GROWTH	ADD1,ANKRD11,APBA1,APBA2,ARID5B,ATF5,ATRX,BRCA2,CCM2,CDC42,CDKN1C,CELA1,CLIC4,CTC1,DHCR7,DUOX2,EN1,ERCC1,ERCC2,ERCC6,ETNK2,FGFR2,FKBP8,FLVCR1,G6PC,GIGYF2,GNAS,GPD2,GRHL2,HEG1,HELT,HHEX,HOXA5,KAT2A,KDM6A,KLF2,MTOR,NDUFS6,PALB2,PDE4D,PKDCC,PLAG1,PLEKHA1,PPP1R13L,PTPN11,RARA,RARB,RARG,RBBP6,RC3H2,RMI1,SLC12A5,SLC1A2,SLC25A25,SLC4A10,SLITRK1,SLITRK6,SMO,SOS1,SP2,SPTBN2,STIL,STK40,TAL2,TARBP2,TBL1XR1,TENC1,TMED2,TNKS2,UNC79,WDR48,WDTC1,WWTR1,XPA,XRCC2,ZFP36L1	76
GO_MULTICELLULAR_ORGANISM_METABOLIC_PROCESS	ACACA,ACE,ACE2,ADAM15,ADAMTS14,ADAMTS2,ADAMTS3,ADRB1,ADRB2,ADRB3,AGXT2L2,AKR1C3,APOA4,ARG1,BMP8A,CEL,CLIC5,COL10A1,COL11A1,COL11A2,COL12A1,COL13A1,COL15A1,COL18A1,COL19A1,COL1A1,COL1A2,COL25A1,COL26A1,COL2A1,COL3A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL5A2,COL5A3,COL6A1,COL6A2,COL6A3,COL6A5,COL6A6,COL7A1,COL8A1,COL8A2,CTSB,CTSD,CTSK,CTSL,CTSL1,CTSS,EMID2,ENPEP,FURIN,GHR,HIF1A,ID1,KLK6,LEPRE1,LEPREL1,MC4R,MMP1,MMP10,MMP11,MMP12,MMP13,MMP14,MMP15,MMP16,MMP19,MMP2,MMP20,MMP26,MMP27,MMP3,MMP7,MMP8,MMP9,MRC2,OMA1,P2RX7,P3H1,P3H2,PEPD,PLA2G1B,PPARGC1A,PRSS2,PRTN3,SERPINH1,TENC1,TIPARP,TNXB,TRAM2,TRPV4	97
GO_MULTICELLULAR_ORGANISM_REPRODUCTION	ABCG2,ABHD2,ACE,ACOX1,ACR,ACRBP,ACSBG2,ACSL4,ACVR1,ACVR2A,ADAD1,ADAM18,ADAM2,ADAM28,ADAM29,ADAMTS1,ADAMTS2,ADC,ADCY10,ADCY7,ADCYAP1,ADCYAP1R1,ADIG,ADNP,ADRB2,AFF4,AFP,AGFG1,AGRP,AHR,AKAP14,AKAP5,AKR1B1,AKT1,ALKBH5,AMH,ANG,ANGPT2,ANKRD49,ANXA1,APOB,APOL2,APP,ARG1,ARID4A,ARID4B,ARNTL,ARRB1,ARRB2,ASF1B,ASPM,ASZ1,ATAT1,ATM,ATP1A4,ATP2B4,ATRX,AURKC,AVP,AVPR1A,AXL,AZI1,B4GALNT1,B4GALT1,BAD,BAG6,BAX,BBS2,BBS4,BCAP31,BCL2,BCL2L1,BCL2L10,BCL2L11,BCL2L2,BCL6,BIK,BIRC3,BMP15,BMP4,BMPR1B,BMPR2,BOLL,BPY2,BPY2B,BPY2C,BRCA2,BRD2,BRDT,BSG,BSPH1,C10orf125,C10orf27,C11orf20,C12orf55,C14orf133,C15orf2,C17orf46,C19orf20,C20orf152,C20orf165,C2orf65,C5orf41,C8orf42,C9orf11,C9orf24,C9orf79,CABS1,CABYR,CADM1,CALR,CALR3,CAPN5,CAPZA3,CASC5,CASP2,CASP5,CATSPER1,CATSPER2,CATSPER3,CATSPER4,CATSPERB,CATSPERG,CCDC155,CCDC63,CCIN,CCL2,CCNA1,CCNB1,CCNB1IP1,CCNE1,CCNI,CCT6B,CD9,CDC25B,CDC25C,CDK16,CDY1,CDY1B,CDY2A,CDY2B,CDYL,CEBPB,CELF1,CELF3,CELF4,CELSR2,CENPI,CEP57,CETN2,CFAP54,CFTR,CGB,CHAT,CHD5,CHGA,CIB1,CLDN11,CLOCK,CLU,CNBD2,CNR1,CNTD1,COMT,CREB3L4,CREM,CRISP1,CRTAP,CSDA,CTCFL,CTDNEP1,CTNNA1,CTNNB1,CTSB,CTSL2,CTSV,CXADR,CYLC1,CYLC2,CYP17A1,CYP1A1,CYP26B1,CYP27B1,DAZ1,DAZ2,DAZ3,DAZ4,DAZAP1,DAZL,DBH,DDO,DDX20,DDX25,DDX4,DEAF1,DEDD,DEFB118,DHH,DIAPH2,DIAPH3,DLD,DMC1,DMRT1,DMRTA1,DMRTC2,DNAH9,DNAJA1,DND1,DNM2,DNMT3A,DNMT3L,DPCD,DPY19L2,DPY19L2P1,DPY19L2P2,DRD1,DRD5,DSG1,DSG2,DUSP13,DYNLL1,DZIP1,E2F1,EDDM3A,EDN1,EDNRA,EIF2B2,EIF2B4,EIF2B5,EIF2S2,EIF5A2,ELL3,EPOR,ERCC1,EREG,ESR1,ESR2,ETS1,ETV5,FABP9,FAM50A,FAM75A1,FAM75A3,FAM75A5,FAM75A6,FAM75A7,FAM75B,FAM75C1,FAM75C2,FAM75D1,FAM75D3,FAM75D4,FAM9A,FAM9B,FAM9C,FANCD2,FANCF,FANCG,FANCL,FAS,FBXO5,FGF7,FIGLA,FKBP6,FMN2,FNDC3A,FOLR4,FOSL1,FOXA3,FOXC1,FOXJ1,FOXL2,FOXO3,FSCN3,FSHB,FSHR,FSTL3,FZD4,GABRB1,GAL3ST1,GALNTL5,GAMT,GAPDHS,GDF9,GGN,GGNBP1,GGNBP2,GGT1,GHRHR,GHRL,GHSR,GJA10,GJB2,GLI1,GMCL1,GMCL1P1,GNAQ,GNRH1,GPR149,GPR64,GRIN1,GRN,GTSF1,H1FNT,H2AFX,HAS1,HAS2,HAVCR2,HERC2,HERC4,HERPUD2,HEXB,HIF1A,HILS1,HIST1H1A,HIST1H1T,HIST1H2BA,HMGB2,HMX3,HNRNPK,HOOK1,HORMAD1,HOXA10,HOXA11,HOXA9,HPGD,HSF1,HSF2,HSF2BP,HSPA2,ICAM1,IFT81,IGF2R,IHH,IL1A,IL1B,IL1R1,IL4R,IMMP2L,ING2,INHA,INHBA,INHBB,INPP5B,INSL3,INSL6,IQCF1,IQCG,ITGA3,ITGB1,IZUMO1,JAG2,JAM3,JUNB,KATNAL1,KDM1B,KDM2B,KDM3A,KDM5A,KHDRBS3,KIAA0196,KIAA0430,KIAA1524,KIFC1,KISS1,KIT,KITLG,KLF17,KLHL10,KLK14,KNL1,KPNA6,KRT9,LEP,LFNG,LGALS9,LGR4,LGR5,LHCGR,LIF,LIMK2,LIN28A,LMNA,LRGUK,MAEL,MAK,MAP2K6,MAPK8IP2,MAS1,MAST2,MBD2,MCM8,MCM9,MEA1,MED1,MEI1,MEIG1,MEN1,MERTK,MICALCL,MKKS,MLH1,MLL2,MLL4,MMP13,MMP14,MMP19,MMP7,MNS1,MORC1,MOV10L1,MSH2,MSH4,MSTN,MTL5,MTNR1A,MTOR,MYCBP,MYCBPAP,NANOS2,NANOS3,NCL,NCOA1,NCOA2,NCOA6,NDRG3,NEURL,NHLH2,NLRP14,NME5,NOBOX,NODAL,NOS3,NOTCH1,NPAS1,NPFF,NPHP1,NPM2,NPY5R,NR0B1,NR2C2,NR2F2,NR5A1,NR6A1,NRIP1,NSUN2,NUP210L,NUP62,OAZ3,OCA2,ODF1,ODF2,ODF3,ODF4,OPRK1,OPRL1,OPRM1,OR7C1,OSBP2,OVOL1,OXT,OXTR,P2RX1,PABPC1L,PACRG,PAFAH1B1,PAFAH1B2,PAFAH1B3,PAIP2,PAM,PANK2,PAQR5,PAQR7,PAQR8,PARN,PARP11,PATZ1,PAX5,PCSK4,PCYT1B,PDE3A,PDGFRA,PDILT,PGAM2,PGM3,PHC2,PICK1,PIWIL1,PIWIL2,PIWIL3,PIWIL4,PLA2G3,PLA2G4A,PLA2G6,PLAU,PLD6,PLEKHA1,PMCH,POMZP3,POU4F2,PPAP2A,PPAP2B,PPARD,PPAT,PPP1R1B,PRDM1,PRDM14,PRDX3,PRDX4,PRKACA,PRKACG,PRKAG1,PRKDC,PRM1,PRM2,PRM3,PRMT7,PROK2,PRSS21,PRSS42,PSME4,PTCHD3,PTEN,PTGER3,PTGER4,PTGIS,PTGS2,PTK2B,PTN,PTPN11,PTPRN,PTTG1,PUM1,PVRL2,PXT1,PYGO1,PYGO2,QKI,RACGAP1,RAD21L1,RAD23B,RAD51C,RAN,RARA,RBMY1B,RBMY1F,RBMY1J,REC8,RFX2,RGN,RGS2,RHBDD1,RHOXF1,RNASE9,RNF114,RNF151,RNF17,RNF2,RNF8,ROBO2,ROPN1B,ROS1,RPL10L,RPL39L,RPS6,RPS6KA2,RPS6KB1,RSPH1,RUVBL1,RXFP2,RXRA,SBF1,SCMH1,SEMG1,SEPT4,SERPINA5,SERPINE2,SERPINF1,SETX,SFMBT1,SFRP1,SGPL1,SHCBP1L,SIAH1,SIRT1,SIX5,SKIL,SLC22A16,SLC26A3,SLC26A6,SLC26A8,SLC2A14,SLC4A2,SLC6A4,SLC9A10,SLCO4C1,SLIRP,SLIT2,SLIT3,SMAD1,SMAD4,SMAD5,SMARCA2,SMARCA4,SMCP,SOD1,SOHLH1,SOHLH2,SOS1,SOX17,SOX30,SOX8,SOX9,SP3,SPA17,SPACA1,SPAG11B,SPAG16,SPAG4,SPAG6,SPAG9,SPAM1,SPANXA1,SPANXA2,SPANXB1,SPATA16,SPATA19,SPATA2,SPATA20,SPATA22,SPATA24,SPATA5,SPATA6,SPATA7,SPATA9,SPEF2,SPEM1,SPESP1,SPIN1,SPIN2A,SPIN2B,SPIN3,SPIN4,SPO11,SPP1,SRC,SRPK1,SSTR1,SSTR2,SSTR3,STAT5B,STC1,STC2,STK11,STOX2,STRA8,STRBP,STYX,SUN5,SYCE3,SYCP1,SYCP3,T,TAC1,TACR1,TAF4,TAF4B,TAF7L,TARBP2,TBC1D20,TBP,TBPL1,TCFL5,TCP11,TDRD1,TDRD12,TDRD5,TDRD6,TDRD7,TDRD9,TDRKH,TESK1,TESK2,TEX15,TEX19,TGFB1,TGFB2,TGFB3,TGFBR1,TH,THEG,THRA,THRB,TIAL1,TIMP4,TK1,TMBIM6,TMED2,TMEM119,TMEM146,TMEM203,TMEM48,TMF1,TNP1,TNP2,TOB2,TP63,TRIM27,TRIP13,TRPM2,TSGA10,TSNAX,TSNAXIP1,TSPY1,TSPY10,TSPY2,TSPY3,TSPY4,TSPY8,TSSK1B,TSSK2,TSSK3,TSSK4,TSSK6,TTC26,TTLL5,TUBD1,TXNDC2,TXNDC3,TXNDC8,TXNRD3,TYRO3,UBE2A,UBE2B,UBE2J1,UBE2Q1,UBE3A,UBR2,UMODL1,USP42,USP9X,USP9Y,UTP14C,VCX,VDR,VEGFA,VGF,WDR33,WDR48,WDR81,WFDC2,WIPF3,WNT3,WNT4,WNT5A,WT1,XRN2,YBX2,YY1,ZBTB16,ZFP41,ZGLP1,ZMIZ1,ZMYND15,ZNF148,ZNF296,ZNF35,ZNF541,ZNF830,ZP3,ZPBP2,ZSCAN2	772
GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	ABCA12,ABCA4,ACACA,ACACB,ACADL,ACADVL,ACP5,ACTB,ACTG1,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADD1,ADGRF5,ADORA1,ADRB1,ADRB2,ADRB3,AIPL1,AKR1B1,ALB,ALOX12,ALOX12B,ALOXE3,AMPD2,AMPD3,ANKRD11,AQP1,AQP2,AQP3,AQP4,ARMS2,ARRDC3,AVP,AVPR2,AZGP1,B2M,BARD1,BAX,BBS1,BBS10,BBS12,BBS2,BBS4,BCL2,BMP6,BPIFA1,BTBD9,C1orf172,CCKAR,CD34,CD7,CDH23,CDH3,CDHR1,CHMP4B,CIB2,CIDEA,CLDN1,CLDN4,CLN8,CLRN1,CNGB1,COL2A1,CORO1A,CROCC,CRTC3,CSF1,CST4,CTGF,CTNNB1,CTSH,CTSK,CUBN,CXADR,CYP11B2,CYP26B1,CYP4A11,CYP4F12,CYP4F2,CYTL1,DBH,DFNB31,DRAM2,DRD1,DRD2,EDN2,EPAS1,ERCC6,F2R,FGF7,FH,FLG,FLG2,FLT3LG,FOXC1,FOXO1,FTO,GATA1,GATA2,GBA,GCNT2,GIGYF2,GNAS,GPR116,GPR55,GPR98,GPX1,GRHL3,HAMP,HAS2,HFE,HOMER1,HRNR,HSPB1,HTR2A,HYAL2,IGHA1,IGHA2,IGHG3,IGJ,IGKC,IL1A,IL1B,IL20RB,IL7,ILDR2,IQCB1,ITGB1,KLHL10,KRAS,KRT1,KRT16,LCN1,LDB1,LDB2,LEPR,LIPA,LPCAT1,LRRK1,LTF,LYZ,MAK,MC3R,MEX3C,MKKS,MKS1,MLL,MRAP2,MUC13,MUC2,MUC4,MUC5AC,MUC6,MYO5B,NAPSA,NCDN,NDN,NOD2,NOX3,NOX4,NPHP3,NPHP4,NR1D1,NR4A3,NTSR1,NXNL1,NXNL2,OMA1,P2RX4,P2RX7,PBLD,PCDH15,PIGR,PIK3CA,PIP,PLA2G4A,POC1B,POTEE,POTEF,POTEI,POTEJ,PPARGC1A,PPP1R13L,PRCP,PRDM14,PRDX1,PRDX5,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRLH,PROL1,PROM1,PRR4,PTH,PTH1R,PTK2B,PTPN11,RAB11A,RAB11FIP2,RAB3D,RAB7A,RAC1,RAC2,RAC3,RBP4,RDH12,RHAG,RHO,RP1,RP1L1,RPE65,SASH3,SCNN1A,SCNN1B,SCNN1G,SCXB,SERPINA3,SFN,SFTPD,SLC11A1,SLC11A2,SLC28A3,SLC40A1,SMO,SOD1,SOX9,SPATA7,SRC,SRF,STAT3,STK11,STRAP,TENC1,TEX15,TF,TFAP2B,TFF1,TLR4,TLR9,TMEM79,TNFRSF11A,TNFSF11,TP53INP2,TP63,TPP1,TRAF6,TRIM32,TRPV4,TUB,TULP1,USH1C,USH1G,USH2A,VEGFA,VPS54,VSIG1,WDR36,WFS1,ZG16B,ZNF675,ZNF830	273
GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS	ACACA,ACE,ACE2,ADAM15,ADAMTS14,ADAMTS2,ADAMTS3,AGXT2L2,AKR1C3,ARG1,COL10A1,COL11A1,COL11A2,COL12A1,COL13A1,COL15A1,COL18A1,COL19A1,COL1A1,COL1A2,COL25A1,COL26A1,COL2A1,COL3A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL5A2,COL5A3,COL6A1,COL6A2,COL6A3,COL6A5,COL6A6,COL7A1,COL8A1,COL8A2,CTSB,CTSD,CTSK,CTSL,CTSL1,CTSS,EMID2,ENPEP,FURIN,HIF1A,ID1,KLK6,LEPRE1,LEPREL1,MMP1,MMP10,MMP11,MMP12,MMP13,MMP14,MMP15,MMP16,MMP19,MMP2,MMP20,MMP26,MMP27,MMP3,MMP7,MMP8,MMP9,MRC2,P2RX7,P3H1,P3H2,PEPD,PRSS2,PRTN3,SERPINH1,TENC1,TNXB,TRAM2	83
GO_MULTICELLULAR_ORGANISMAL_MOVEMENT	ADRB2,ASCL1,ATP8A2,CACNA1A,CCDC78,CHRNA1,CHRNB1,CHRND,CHRNE,CHUK,CLN8,DMPK,DRD3,EEF2,GAA,GIGYF2,HIPK2,HOMER1,HSP90AA1,IKBKB,ITPR1,JSRP1,MB,MTOR,MYH14,MYH3,MYH7,MYH8,RCSD1,RPS6KB1,STAC3,TCAP,TNNC1,TNNC2,TNNI1,TNNI2,TNNI3,TNNT1,TNNT3,VPS54,VTI1A	41
GO_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	ACP5,ADCYAP1,ADCYAP1R1,ADRB1,ALS2,BCL2,CACNA1A,CACNA1B,CALCA,CCK,COMT,CRH,DBH,DEAF1,DPP4,DRD1,DRD4,EDNRB,EIF4E,EIF4G1,ESR2,FBXL20,GABRA5,GCH1,GIT2,GJA4,GRIK2,GRM7,HMGCS2,HTR1A,HTR2C,IDO1,LGALS1,LRP11,MAPK8IP2,MDK,MECP2,NEUROD2,NMUR2,NOS1,NPY2R,NR2E1,NR4A2,NTRK1,OSM,P2RX2,P2RX3,PENK,PIRT,PPP3CA,PRKCG,PTEN,RELN,RET,RPS6KB1,SCN9A,SEPN1,SLC6A2,TAC1,TACR1,THBS1,THBS4,TRPA1,TSPO,UCN,USP46,VDAC1,VWA1	68
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	AKAP9,ANK2,ANK3,ATP1A1,ATP1A2,ATP1A3,ATP1B1,ATP1B2,CACNA1A,CACNA1C,CACNA1D,CACNA1F,CACNA1G,CACNA1I,CACNA1S,CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,CACNG7,CACNG8,CAMK2D,CASQ2,CATSPER4,CAV1,CHRM5,CHRNA1,CLCN1,CLDN19,CNTNAP1,CNTNAP2,CTNNA3,CXADR,DMRT3,DRD1,DRD5,DSC2,DSG2,DSP,FKBP1B,GJA1,GJA5,GJC1,GPER,GPR88,GRIK2,GRM7,HCN4,JAM3,JUP,KCNA1,KCNA2,KCNA5,KCND1,KCND2,KCND3,KCNE1,KCNE1L,KCNE2,KCNH2,KCNIP1,KCNIP2,KCNIP3,KCNIP4,KCNJ12,KCNJ14,KCNJ2,KCNJ4,KCNK1,KCNK15,KCNK3,KCNK6,KCNMB2,KCNMB3,KCNMB4,KCNQ1,MEF2A,MYH14,NFASC,NRCAM,NUP155,OTOA,P2RX1,P2RX3,P2RX4,PAFAH1B1,PKP2,PLN,PRKACA,RNF207,RYR2,S1PR1,SCN10A,SCN11A,SCN1A,SCN1B,SCN2A,SCN2B,SCN3A,SCN3B,SCN4A,SCN4B,SCN5A,SCN7A,SCN8A,SCN9A,SLC8A1,SLC9A1,SOD1,SPTBN4,TNNI3K,TRPM4,YWHAE	123
GO_MULTICELLULAR_ORGANISMAL_WATER_HOMEOSTASIS	ABCA12,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ALOX12,ALOX12B,ALOXE3,AQP1,AQP2,AQP3,AQP4,AVP,AVPR2,BPIFA1,C1orf172,CLDN1,CLDN4,CYP11B2,CYP26B1,CYP4A11,CYP4F12,CYP4F2,FLG,FLG2,GBA,GNAS,GRHL3,HAS2,HRNR,HYAL2,KRT1,KRT16,MYO5B,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,RAB11A,RAB11FIP2,SCNN1A,SCNN1B,SCNN1G,SFN,SRF,TFAP2B,TMEM79,TP63,TRPV4,WFS1	58
GO_MULTIVESICULAR_BODY_ORGANIZATION	CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP5,CHMP6,CHMP7,FAM125A,HGS,IST1,PDCD6IP,RAB11A,RAB27A,SNF8,STAM,STAM2,TSG101,VPS25,VPS28,VPS36,VPS37A,VPS37B,VPS37C,VPS37D,VPS4A,VPS4B,VTA1	31
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	CHMP2B,CHMP3,CHMP5,EXPH5,KIAA0226,MITD1,RAB27A,RAB27B,SNF8,SYTL4,UVRAG,VTA1	12
GO_MUSCLE_ADAPTATION	ACTA1,ACTN3,CAMTA2,CFLAR,CYBA,GATA6,GSN,HDAC4,HEY2,HMOX1,IL15,IL1B,INPP5F,KDM4A,KLF15,MEF2C,MSTN,MYOC,MYOD1,MYOG,NOS3,NPPA,PPARGC1A,PPP3CA,PSMB9,RPS6KB1,TBCE,TCAP,TRIM63	29
GO_MUSCLE_ATROPHY	ACTN3,CFLAR,GSN,IL15,MSTN,MYOG,PPARGC1A,PSMB9,RPS6KB1,TBCE,TRIM63	11
GO_MUSCLE_CELL_CELLULAR_HOMEOSTASIS	ALDOA,CAPN3,CAV3,CFL2,CHRNA1,DMD,GAA,GYLTL1B,HIF1A,IL6,LAMP2,LARGE,MSTN,MTM1,PFKM,SGCZ,SOD1,SRF,TRIM32	19
GO_MUSCLE_CELL_DEVELOPMENT	ACTA1,ACTC1,ACTG1,ACTN2,ADM,AFG3L2,AGT,AGTR2,ANK2,ANKRD1,ATG5,ATP2A2,AXIN1,BEND2,BIN3,BMP10,BVES,C11orf88,C14orf165,C16orf89,CACNA2D2,CACNB4,CAMK2D,CAPN3,CASQ1,CASQ2,CAV2,CAV3,CCNB1,CDK1,CFL2,CFLAR,CHRNB1,CSRP3,CXADR,DMD,DNER,FAM65B,FHL2,FHOD3,FLNC,GATA4,GPX1,HES1,HEY2,HOMER1,IGF1,ITGB1,KBTBD10,KBTBD5,KDM1A,KEL,KIAA1161,KRT19,KRT8,LDB3,LEF1,LMNA,LMOD1,LMOD2,LMOD3,LOC375190,LRRC10,MAML1,MEF2A,MEGF10,MTOR,MYH10,MYH11,MYH3,MYH6,MYL2,MYLK3,MYOCD,MYOD1,MYOG,MYOZ1,MYPN,NEBL,NEXN,NFATC2,NFATC4,NKX2-5,NKX2-6,NOTCH1,NPPA,OBSCN,OBSL1,P2RX2,PDGFRA,PDGFRB,PDLIM5,PITX2,PPP3CA,PRKAR1A,PROX1,PTCD2,RAMP2,RYR1,SDC1,SEPN1,SGCB,SGCD,SGCG,SGCZ,SIX4,SKI,SLC8A1,SMO,SMYD3,SORBS2,SRF,STAC3,TBX3,TCAP,TMOD1,TMOD2,TMOD3,TMOD4,TPM1,TTN,UCHL1,VEGFA,WDR1,WFIKKN1,WFIKKN2,WNT10B,XK	128
GO_MUSCLE_CELL_DIFFERENTIATION	ACTA1,ACTC1,ACTG1,ACTN2,ACVR1,ADAM12,ADM,AFG3L2,AGT,AGTR2,AKAP13,AKT1,ANK2,ANKRD1,ARID1A,ASB2,ASF1A,ATG5,ATP2A2,AVPR1A,AXIN1,BAI3,BARX2,BCL9,BEND2,BIN1,BIN3,BMP10,BMP2,BMP4,BVES,C11orf88,C14orf165,C16orf89,CACNA1H,CACNA2D2,CACNB4,CALR,CAMK2D,CAPN2,CAPN3,CASQ1,CASQ2,CAST,CAV2,CAV3,CBY1,CCNB1,CDH2,CDK1,CDON,CFL2,CFLAR,CHRNB1,CHUK,CSRP2,CSRP3,CTNNB1,CXADR,DMD,DNER,DTYMK,DYRK1B,EDNRB,EPAS1,EPC1,FAM65B,FBXO40,FER1L5,FGF10,FGF6,FHL2,FHOD3,FLNC,FOXF1,GATA4,GATA6,GLMN,GPX1,GREM1,GSK3B,HES1,HEY1,HEY2,HINFP,HIRA,HMGCR,HOMER1,IFRD1,IFT20,IGF1,IGFBP5,ISL1,ITGA8,ITGB1,JAG1,KAT2A,KBTBD10,KBTBD5,KCNAB1,KCNH1,KDM1A,KDM6B,KEL,KIAA1161,KRAS,KRT19,KRT8,LDB3,LEF1,LGALS1,LMNA,LMOD1,LMOD2,LMOD3,LOC375190,LRRC10,MAML1,MAPK12,MAPK14,MBNL1,MEF2A,MEF2C,MEGF10,MESP1,MKL1,MKL2,MTOR,MTPN,MYEF2,MYF5,MYF6,MYH10,MYH11,MYH3,MYH6,MYH9,MYL2,MYLK3,MYOCD,MYOD1,MYOG,MYOZ1,MYPN,NEBL,NEXN,NFATC2,NFATC4,NKX2-5,NKX2-6,NOS1,NOTCH1,NOX4,NPHS1,NPNT,NPPA,NRG1,OBSCN,OBSL1,P2RX2,PDGFRA,PDGFRB,PDLIM5,PITX1,PITX2,PLEKHO1,PPP3CA,PRKAR1A,PROX1,PROX2,PTCD2,QKI,RAMP2,RARA,RARB,RB1,RBPJ,REST,RORA,RXRA,RYR1,SDC1,SEMA4C,SEPN1,SGCB,SGCD,SGCG,SGCZ,SHH,SIK1,SIX1,SIX4,SKI,SLC8A1,SLC9A1,SMARCD3,SMO,SMYD3,SORBS2,SORT1,SOX15,SOX6,SOX9,SPAG9,SPEG,SRF,STAC3,SYNE1,T,TANC1,TBX1,TBX2,TBX3,TBX5,TCAP,TCF7L2,TMEM204,TMEM8C,TMOD1,TMOD2,TMOD3,TMOD4,TPM1,TSC1,TTN,UCHL1,VEGFA,WDR1,WFIKKN1,WFIKKN2,WNT1,WNT10B,WNT3A,WNT4,WNT8A,WT1,XK	237
GO_MUSCLE_CELL_FATE_COMMITMENT	ACVR1,FGF10,MEF2C,MYF5,MYF6,MYL2,MYOD1,MYOG,NKX2-5,TBX1,TBX2,TBX3,WNT3A,WNT8A,WT1	15
GO_MUSCLE_CELL_MIGRATION	AAMP,ANXA1,BIN3,DDR1,ITGB1BP1,ITGB3,NET1,NOV,PARVA,PDGFRB,PLAT,PLAU,PLEKHO1,ROCK1,SIX1,SIX4,SMO,THBS4	18
GO_MUSCLE_CELL_PROLIFERATION	AGT,BMP10,C3orf58,EDNRA,FOXC1,FOXC2,MEGF10,NAA35,NDRG4,NKX2-5,NOTCH1,NOV,ODZ4,PRKAR1A,RXRA,SMAD1,TGFB2,TGFBR3,TK1	19
